"Info";"Date";"Time";"TimeStamp";"0,2 - CP_output_pwm";"0,2 - CP_rpms";"0,2 - CP_pressure"
"";"2020-11-30";"13:57:10.143";"30146";"10000";"3351";"2681896"
"";"2020-11-30";"13:57:10.243";"30246";"10000";"3339";"2794988"
"";"2020-11-30";"13:57:10.344";"30347";"10000";"3344";"2908080"
"";"2020-11-30";"13:57:10.445";"30448";"10000";"3345";"3053484"
"";"2020-11-30";"13:57:10.546";"30549";"10000";"3336";"3231200"
"";"2020-11-30";"13:57:10.647";"30650";"10000";"3328";"3392760"
"";"2020-11-30";"13:57:10.747";"30750";"10000";"3330";"3675490"
"";"2020-11-30";"13:57:10.849";"30852";"10000";"3313";"3990532"
"";"2020-11-30";"13:57:10.950";"30953";"10000";"3285";"4370198"
"";"2020-11-30";"13:57:11.051";"31054";"10000";"3272";"4733708"
"";"2020-11-30";"13:57:11.151";"31154";"9624";"3271";"5258778"
"";"2020-11-30";"13:57:11.253";"31256";"8891";"3252";"5694990"
"";"2020-11-30";"13:57:11.353";"31356";"7848";"3241";"6389698"
"";"2020-11-30";"13:57:11.454";"31457";"7489";"3219";"6680506"
"";"2020-11-30";"13:57:11.555";"31558";"7365";"3195";"6809754"
"";"2020-11-30";"13:57:11.657";"31660";"7232";"3187";"6914768"
"";"2020-11-30";"13:57:11.757";"31760";"6970";"3154";"7181342"
"";"2020-11-30";"13:57:11.858";"31861";"7087";"3147";"7092484"
"";"2020-11-30";"13:57:11.959";"31962";"7585";"3132";"6712818"
"";"2020-11-30";"13:57:12.059";"32062";"7271";"3125";"6971314"
"";"2020-11-30";"13:57:12.161";"32164";"7282";"3122";"6971314"
"";"2020-11-30";"13:57:12.261";"32264";"7245";"3121";"6987470"
"";"2020-11-30";"13:57:12.362";"32365";"7079";"3137";"7108640"
"";"2020-11-30";"13:57:12.463";"32466";"7111";"3127";"7100562"
"";"2020-11-30";"13:57:12.563";"32566";"6985";"3138";"7173264"
"";"2020-11-30";"13:57:12.664";"32667";"6969";"3128";"7213654"
"";"2020-11-30";"13:57:12.764";"32767";"7118";"3147";"7068250"
"";"2020-11-30";"13:57:12.864";"32867";"6835";"3140";"7302512"
"";"2020-11-30";"13:57:12.965";"32968";"6865";"3129";"7302512"
"";"2020-11-30";"13:57:13.065";"33068";"7151";"3109";"7092484"
"";"2020-11-30";"13:57:13.166";"33169";"6743";"3115";"7423682"
"";"2020-11-30";"13:57:13.268";"33271";"6782";"3108";"7399448"
"";"2020-11-30";"13:57:13.369";"33372";"6871";"3104";"7326746"
"";"2020-11-30";"13:57:13.470";"33473";"6435";"3101";"7714490"
"";"2020-11-30";"13:57:13.570";"33573";"6572";"3097";"7601398"
"";"2020-11-30";"13:57:13.669";"33672";"6439";"3096";"7698334"
"";"2020-11-30";"13:57:13.771";"33774";"6387";"3086";"7779114"
"";"2020-11-30";"13:57:13.870";"33873";"6590";"3076";"7609476"
"";"2020-11-30";"13:57:13.972";"33975";"6235";"3071";"7940674"
"";"2020-11-30";"13:57:14.073";"34076";"6418";"3072";"7771036"
"";"2020-11-30";"13:57:14.173";"34176";"6128";"3075";"8013376"
"";"2020-11-30";"13:57:14.275";"34278";"6220";"3064";"7964908"
"";"2020-11-30";"13:57:14.376";"34379";"6432";"3060";"7762958"
"";"2020-11-30";"13:57:14.477";"34480";"6092";"3040";"8110312"
"";"2020-11-30";"13:57:14.580";"34583";"6307";"3030";"7932596"
"";"2020-11-30";"13:57:14.681";"34684";"5985";"3021";"8247638"
"";"2020-11-30";"13:57:14.782";"34785";"6178";"3012";"8078000"
"";"2020-11-30";"13:57:14.883";"34886";"5822";"2995";"8433432"
"";"2020-11-30";"13:57:14.983";"34986";"6235";"2973";"8078000"
"";"2020-11-30";"13:57:15.084";"35087";"5853";"2931";"8514212"
"";"2020-11-30";"13:57:15.183";"35186";"6241";"2902";"8166858"
"";"2020-11-30";"13:57:15.285";"35288";"5993";"2895";"8417276"
"";"2020-11-30";"13:57:15.385";"35388";"6146";"2872";"8279950"
"";"2020-11-30";"13:57:15.486";"35489";"6042";"2847";"8433432"
"";"2020-11-30";"13:57:15.587";"35590";"5786";"2832";"8700006"
"";"2020-11-30";"13:57:15.687";"35690";"6203";"2825";"8304184"
"";"2020-11-30";"13:57:15.789";"35792";"5885";"2811";"8643460"
"";"2020-11-30";"13:57:15.889";"35892";"5926";"2786";"8594992"
"";"2020-11-30";"13:57:15.989";"35992";"6013";"2785";"8546524"
"";"2020-11-30";"13:57:16.090";"36093";"5770";"2766";"8813098"
"";"2020-11-30";"13:57:16.192";"36195";"5887";"2754";"8667694"
"";"2020-11-30";"13:57:16.293";"36296";"5932";"2727";"8708084"
"";"2020-11-30";"13:57:16.393";"36396";"5743";"2712";"8910034"
"";"2020-11-30";"13:57:16.495";"36498";"5500";"2685";"9160452"
"";"2020-11-30";"13:57:16.595";"36598";"6086";"2656";"8594992"
"";"2020-11-30";"13:57:16.696";"36699";"5979";"2644";"8756552"
"";"2020-11-30";"13:57:16.797";"36800";"5859";"2626";"8877722"
"";"2020-11-30";"13:57:16.898";"36901";"5716";"2600";"9071594"
